                                                           Vallejo Police Department Public Log
                                                                  from 03/02/2026 to 03/02/2026
  Incident #        Date                              Location                             Description     Beat               Disposition
2603020001     03/02/2026 00:02   FAIRGROUNDS DR/SAGE ST                  TRAFFIC STOP                      7     WARNING GIVEN

2603020003     03/02/2026 00:21   700 BLK ADMIRAL CALLAGHAN LN            TRAFFIC COLLISION / NO DETAILS    1     UNABLE TO LOCATE

2603020004     03/02/2026 00:32   100 BLK SETTERQUIST DR                  AREA CHECK                        7     GENERAL SERVICE PROVIDED

2603020006     03/02/2026 00:37   1900 BLK BROADWAY ST                    TRESPASS IN PROGRESS              7     REFERRED TO ANOTHER AGENCY

2603020007     03/02/2026 00:37   100 BLK CAROLINA ST                     VERBAL FIGHT                      6     GENERAL SERVICE PROVIDED

2603020008     03/02/2026 00:54   00 BLK ROTARY WY                        SUSPICIOUS PERSON                 1     UNABLE TO LOCATE

2603020009     03/02/2026 00:55   500 BLK SANTA CLARA ST                  SECURITY CHECK                    6     GENERAL SERVICE PROVIDED

2603020010     03/02/2026 01:00   500 BLK SANTA CLARA ST                  EXTRA PATROL                      6     GENERAL SERVICE PROVIDED

2603020011     03/02/2026 01:03   900 BLK NIMITZ AV                       EXTRA PATROL                      6     GENERAL SERVICE PROVIDED

2603020012     03/02/2026 01:21   SOLANO AV/MONTEREY ST                   TRAFFIC STOP                      4     WARNING GIVEN

2603020013     03/02/2026 01:31   NAPA ST/NEBRASKA ST                     TRAFFIC STOP                      5     WARNING GIVEN

2603020014     03/02/2026 01:39   ILLINOIS ST/PIERCE ST                   TRAFFIC STOP                      5     WARNING GIVEN

2603020015     03/02/2026 01:43   SUTTER ST/OHIO ST                       TRAFFIC STOP                      5     WARNING GIVEN

2603020018     03/02/2026 02:20   EL DORADO ST/OHIO ST                    TRAFFIC STOP                      5     WARNING GIVEN

2603020020     03/02/2026 02:39   SANTA CLARA ST/DENIO ST                 TRAFFIC STOP                      6     WARNING GIVEN

2603020021     03/02/2026 02:41   100 BLK CAROLINA ST                     VANDALISM JUST OCCURRED           6     GENERAL SERVICE PROVIDED

2603020023     03/02/2026 02:58   BROADWAY ST/LOUISIANA ST                TRAFFIC STOP                      5     WARNING GIVEN

2603020025     03/02/2026 03:07   200 BLK DONEGAL DR                      INFORMATIONAL REPORT              8     REFERRED TO ANOTHER AGENCY

2603020026     03/02/2026 03:07   5100 BLK ZINFANDEL LN                   911 HANGUP                        1     UNABLE TO LOCATE

2603020027     03/02/2026 03:09   WILSON AV/TENNESSEE ST                  TRAFFIC COLLISION / NO DETAILS    6     UNABLE TO LOCATE

2603020028     03/02/2026 03:18   1700 BLK NAPA ST                        FOLLOW UP                         5     GENERAL SERVICE PROVIDED

2603020029     03/02/2026 03:19   SONOMA BL/TENNESSEE ST                  TRAFFIC STOP                      5     WARNING GIVEN

2603020031     03/02/2026 03:25   TENNESSEE ST/FRESNO ST                  TRAFFIC STOP                      5     GENERAL SERVICE PROVIDED

2603020032     03/02/2026 03:31   MORNINGSIDE AV/HALLIDAY ST              TRAFFIC STOP                      5     WARNING GIVEN

2603020033     03/02/2026 03:33   1300 BLK VIRGINIA ST                    911 HANGUP                        5     UNABLE TO LOCATE

2603020034     03/02/2026 03:36   WILSON AV/B ST                          WELFARE CHECK                     6     ARREST

2603020035     03/02/2026 03:55   1100 BLK ENTERPRISE ST                  ALARM UNKNOWN                     7     UNFOUNDED

2603020037     03/02/2026 04:10   400 BLK REDWOOD ST                      AUDIBLE ALARM                     6     UNFOUNDED

2603020038     03/02/2026 04:32   1800 BLK BROADWAY ST                    SILENT ALARM                      7     UNABLE TO LOCATE



Total 189 Records                                                      Page 1 of 7                                     Updated @ 3/7/2026 3:20:03 AM
                                                           Vallejo Police Department Public Log
                                                                  from 03/02/2026 to 03/02/2026
  Incident #        Date                               Location                           Description           Beat               Disposition
2603020039     03/02/2026 05:00   500 BLK SANTA CLARA ST                  EXTRA PATROL                           6     GENERAL SERVICE PROVIDED

2603020040     03/02/2026 05:01   100 BLK QUARTZ LN                       911 HANGUP                             8     CANCELLED BY DISPATCH

2603020041     03/02/2026 05:02   800 BLK ADMIRAL CALLAGHAN LN            AREA CHECK                             1     UNFOUNDED

2603020042     03/02/2026 05:13   300 BLK HOSPITAL DR                     WELFARE CHECK                          7     REFERRED TO ANOTHER AGENCY

2603020045     03/02/2026 05:36   TOPLEY DR/REDWOOD PKWY                  SUSPICIOUS VEHICLE CHECK               1     GENERAL SERVICE PROVIDED

2603020049     03/02/2026 06:29   200 BLK LARISSA LN                      UNUSUAL CIRCUMSTANCES                  4     GENERAL SERVICE PROVIDED

2603020050     03/02/2026 06:48   00 BLK SANTA PAULA WY                   AUDIBLE ALARM                          6     UNFOUNDED

2603020051     03/02/2026 07:01   100 BLK CLAY ST                         911 HANGUP                             2     CANCELLED BY REPORTING PARTY

2603020053     03/02/2026 07:39   800 BLK ROSEWOOD AV                     AUDIBLE ALARM                          2     UNFOUNDED

2603020054     03/02/2026 08:02   200 BLK MARE ISLAND WY                  SUSPICIOUS PERSON                      6     GENERAL SERVICE PROVIDED

2603020055     03/02/2026 08:10   1100 BLK SACRAMENTO ST                  VEHICLE THEFT REPORT                   6     REPORT

2603020057     03/02/2026 08:21   1200 BLK LOCUST DR                      ABANDONED VEHICLE                      1     GENERAL SERVICE PROVIDED

2603020058     03/02/2026 08:22   200 BLK LARISSA LN                      TRESPASS IN PROGRESS                   4     CANCELLED BY REPORTING PARTY

2603020059     03/02/2026 08:32   800 BLK MAINE ST                        SUSP CIRCUMSTANCES                     4     GENERAL SERVICE PROVIDED

2603020061     03/02/2026 08:34   100 BLK RIVER PINES WY                  FOLLOW UP                              8     MH TEAM -IHART PRIMARY

2603020062     03/02/2026 08:35   200 BLK LARISSA LN                      FOLLOW UP                              4     GENERAL SERVICE PROVIDED

2603020063     03/02/2026 08:37   100 BLK MOLINA ST                       ABANDONED VEHICLE                      2     REPORT

2603020064     03/02/2026 08:56   1100 BLK SUTTER ST                      VEHICLE THEFT REPORT                   5     REPORT

2603020065     03/02/2026 08:56   1100 BLK BEACH ST                       FOLLOW UP                              4     GENERAL SERVICE PROVIDED

2603020067     03/02/2026 09:12   1500 BLK MAGAZINE ST                    911 HANGUP                             3     UNABLE TO LOCATE

2603020069     03/02/2026 09:24   TENNESSEE ST/LAIN DR                    TRAFFIC STOP                           2     WARNING GIVEN

2603020071     03/02/2026 09:34   SOLANO AV/MARIPOSA ST                   INTEGRATED HEALTH AND RESPONSE TEAM    5     MH TEAM -IHART PRIMARY

2603020072     03/02/2026 09:35   TENNESSEE ST/SUTTER ST                  TRAFFIC STOP                           5     CITATION

2603020074     03/02/2026 09:41   500 BLK OREGON ST                       WELFARE CHECK / 911 HANGUP             5     GENERAL SERVICE PROVIDED

2603020075     03/02/2026 09:42   100 BLK BEAR COVE CT                    ABANDONED VEHICLE                      3     GENERAL SERVICE PROVIDED

2603020076     03/02/2026 09:47   1700 BLK LOUISIANA ST                   ABANDONED VEHICLE                      5     GENERAL SERVICE PROVIDED

2603020078     03/02/2026 09:53   500 BLK TENNESSEE ST                    SUSPICIOUS VEHICLE CHECK               5     REPORT

2603020079     03/02/2026 09:54   500 BLK SANTA CLARA ST                  TRAFFIC STOP                           6     WARNING GIVEN

2603020080     03/02/2026 10:00   500 BLK 3RD ST                          ABANDONED VEHICLE                      4     GENERAL SERVICE PROVIDED



Total 189 Records                                                      Page 2 of 7                                           Updated @ 3/7/2026 3:20:03 AM
                                                            Vallejo Police Department Public Log
                                                                   from 03/02/2026 to 03/02/2026
  Incident #        Date                                Location                             Description      Beat               Disposition
2603020082     03/02/2026 10:18   100 BLK SILVERVIEW CT                    911 HANGUP                          1     UNABLE TO LOCATE

2603020083     03/02/2026 10:19   FAIRGROUNDS DR/BORGES LN                 TRAFFIC STOP                        8     WARNING GIVEN

2603020084     03/02/2026 10:24   1500 BLK VALLE VISTA AV                  ASSAULT REPORT                      7     REPORT

2603020085     03/02/2026 10:26   100 BLK ILLINOIS ST                      ABANDONED VEHICLE                   6     REPORT

2603020088     03/02/2026 10:47   00 BLK DEL SUR ST                        DOMESTIC VIOLENCE REPORT            3     GENERAL SERVICE PROVIDED

2603020089     03/02/2026 10:52   00 BLK FREY PL                           ABANDONED VEHICLE                   6     GENERAL SERVICE PROVIDED

2603020090     03/02/2026 10:54   COUCH ST/BROADWAY ST                     TRAFFIC STOP                        7     CITATION

