                                                           Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                             Description           Beat                    Disposition
2603010001     03/01/2026 00:05   CURTOLA PKWY/SONOMA BL                 RECKLESS DRIVER                          4     UNABLE TO LOCATE

2603010002     03/01/2026 00:10   BW WILLIAMS DR/LEWIS BROWN RD          TRAFFIC STOP                             7     ARREST

2603010004     03/01/2026 00:18   GEORGIA ST/NAPA ST                     TRAFFIC STOP                             4     WARNING GIVEN

2603010005     03/01/2026 00:20   200 BLK LYTHAM WY                      FOLLOW UP                                1     GENERAL SERVICE PROVIDED

2603010006     03/01/2026 00:21   300 BLK SAWYER ST                      LOUD PARTY                               8     GENERAL SERVICE PROVIDED

2603010007     03/01/2026 00:22   500 BLK SANTA CLARA ST                 SECURITY CHECK                           6     GENERAL SERVICE PROVIDED

2603010008     03/01/2026 00:32   100 BLK HOLLYWOOD AV                   LOUD PARTY                               3     GENERAL SERVICE PROVIDED

2603010009     03/01/2026 00:33   SONOMA BL/LOUISIANA ST                 INJURY COLLISION                         5     ARREST

2603010013     03/01/2026 00:56   700 BLK ALABAMA ST                     DRUNK IN PUBLIC                          5     REFERRED TO ANOTHER AGENCY

2603010014     03/01/2026 00:57   GEORGIA ST/AMADOR ST                   BOL INFO                                 4     REFERRED TO ANOTHER AGENCY

2603010015     03/01/2026 01:00   500 BLK SANTA CLARA ST                 EXTRA PATROL                             6     GENERAL SERVICE PROVIDED

2603010017     03/01/2026 01:24   400 BLK REDWOOD ST                     AUDIBLE ALARM                            6     GENERAL SERVICE PROVIDED

2603010019     03/01/2026 01:31   2300 BLK SONOMA BL                     VERBAL FIGHT                             6     CANCELLED BY REPORTING PARTY

2603010021     03/01/2026 01:38   TENNESSEE ST/HUMBOLDT ST               TRAFFIC STOP                             2     WARNING GIVEN

2603010022     03/01/2026 01:40   200 BLK DANIELS AVE                    911 HANGUP                               6     UNABLE TO LOCATE

2603010023     03/01/2026 01:43   00 BLK SOUTHPORT WY                    911 HANGUP                               2     CANCELLED BY REPORTING PARTY

2603010024     03/01/2026 01:51   HALLIDAY ST/SPRINGS RD                 TRAFFIC STOP                             5     ARREST

2603010028     03/01/2026 02:10   200 BLK TENNESSEE ST                   SUICIDE THREAT                           6     UNABLE TO LOCATE

2603010029     03/01/2026 02:24   1000 BLK PORTER ST                     FAMILY DISTURBANCE                       4     Referred to Mobile Crisis

2603010030     03/01/2026 02:38   TENNESSEE ST/GLENN ST                  TRAFFIC STOP                             5     WARNING GIVEN

2603010031     03/01/2026 02:39   300 BLK HOSPITAL DR                    INFORMATIONAL REPORT                     7     CANCELLED BY DISPATCH

2603010032     03/01/2026 02:39   100 BLK DOWNIE DR                      SUSP CIRCUMSTANCES                       8     REPORT

