                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                           Description     Beat               Disposition
2603170001     03/17/2026 00:30   BROADWAY ST/TENNESSEE ST               TRAFFIC STOP                      5     CITATION

2603170004     03/17/2026 01:13   400 BLK SANTA CLARA ST                 SECURITY CHECK                    6     GENERAL SERVICE PROVIDED

2603170005     03/17/2026 01:18   800 BLK GATEWAY DR                     WELFARE CHECK                     8     GENERAL SERVICE PROVIDED

2603170006     03/17/2026 01:25   2100 BLK ILLINOIS ST                   EXTRA PATROL                      5     GENERAL SERVICE PROVIDED

2603170007     03/17/2026 01:34   400 BLK FLEMING AVE E                  WELFARE CHECK                     1     UNABLE TO LOCATE

2603170008     03/17/2026 01:41   100 BLK MAYFAIR AV                     SHOTS FIRED                       1     UNABLE TO LOCATE

2603170009     03/17/2026 01:49   GEORGIA ST/SANTA CLARA ST              PHONE CALL                        6     UNABLE TO LOCATE

2603170010     03/17/2026 01:58   400 BLK HAMPSHIRE ST                   WELFARE CHECK                     5     GENERAL SERVICE PROVIDED

2603170011     03/17/2026 02:42   100 BLK BAHIA VISTA CT                 ANNOYING/HARASSING PHONE CALLS    3     GENERAL SERVICE PROVIDED

2603170012     03/17/2026 03:03   400 BLK FAIRGROUNDS DR                 VERBAL FIGHT                      7     GENERAL SERVICE PROVIDED

2603170013     03/17/2026 03:07   1200 BLK MONTEREY ST                   AUDIBLE ALARM                     5     UNFOUNDED

2603170014     03/17/2026 03:53   500 BLK SANTA CLARA ST                 SECURITY CHECK                    6     GENERAL SERVICE PROVIDED

2603170015     03/17/2026 04:30   200 BLK LARISSA LN                     INFORMATIONAL REPORT              4     GENERAL SERVICE PROVIDED

2603170016     03/17/2026 04:35   00 BLK BEVERLY DR                      INFORMATIONAL REPORT              3     GENERAL SERVICE PROVIDED

2603170018     03/17/2026 05:03   2000 BLK SOLANO AV                     AUDIBLE ALARM                     5     UNFOUNDED

2603170020     03/17/2026 05:34   100 BLK HASTINGS AV                    WARRANT SERVICE                   8     REFERRED TO ANOTHER AGENCY

2603170021     03/17/2026 05:39   GEORGIA ST/SONOMA BL                   TRAFFIC STOP                      6     WARNING GIVEN

2603170022     03/17/2026 05:46   CURTOLA PKWY/SONOMA BL                 TRAFFIC STOP                      4     CITATION

2603170023     03/17/2026 07:00   SONOMA BL/SOLANO AV                    TRAFFIC COLLISION / NO DETAILS    4     UNABLE TO LOCATE

2603170024     03/17/2026 07:30   00 BLK FLORIDA ST                      WELFARE CHECK / 911 HANGUP        6     CANCELLED BY REPORTING PARTY

2603170028     03/17/2026 08:04   500 BLK TUOLUMNE ST                    SUSPICIOUS PERSON                 5     GENERAL SERVICE PROVIDED

