Incident #,Date,Time,Location,Description,Beat,Disposition
2603230001,03/23/2026,00:10,00,BLK IDORA AV POLICE COLLABORATE TRANSFER 2 REFERRED TO,ANOTHER,AGENCY
2603230002,03/23/2026,00:20,100,BLK AMADOR ST TRANSPORT ARRESTED PERSON 4 GENERAL,SERVICE,PROVIDED
2603230003,03/23/2026,00:22,100,BLK KATHY ELLEN DR VEHICLE TAMPERING JUST OCCURRED 1 UNABLE,TO,LOCATE
2603230004,03/23/2026,00:35,500,BLK SHELDON AV AREA CHECK 2 UNABLE,TO,LOCATE
2603230005,03/23/2026,00:44,900,BLK LASSEN ST CHILD MOLESTATION REPORT,2,REPORT
2603230006,03/23/2026,00:46,900,BLK LIGHTHOUSE CT 6 UNABLE,TO,LOCATE
2603230007,03/23/2026,01:30,00,BLK ROTARY WY AUDIBLE ALARM,1,UNFOUNDED
2603230010,03/23/2026,01:55,VERVAIS,AV/SPRINGS RD TRAFFIC STOP,2,ARREST
2603230011,03/23/2026,02:31,WILSON,AV/FARRAGUT AV TRAFFIC STOP 6,WARNING,GIVEN
2603230012,03/23/2026,02:43,500,BLK SANTA CLARA ST TRAFFIC STOP,6,CITATION
2603230014,03/23/2026,03:50,LEWIS,BROWN RD/SONOMA BL TRAFFIC STOP 7,WARNING,GIVEN
2603230015,03/23/2026,03:57,600,BLK INDIANA ST NOISE COMPLAINT 5 UNABLE,TO,LOCATE
2603230016,03/23/2026,04:01,300,BLK PARKVIEW TER ARSON,7,REPORT
2603230019,03/23/2026,04:44,100,BLK CYNTHIA AV RAVEN ALERT SHOTS FIRED 8 UNABLE,TO,LOCATE
2603230022,03/23/2026,05:13,2400,BLK SONOMA BL CORONER'S CASE,5,REPORT
2603230023,03/23/2026,05:21,DEL,SUR ST/MAGAZINE ST PHYSICAL FIGHT 3 UNABLE,TO,LOCATE
2603230024,03/23/2026,05:22,SONOMA,BL/FLORIDA ST MISDEMEANOR HIT AND RUN REPORT 5 GENERAL,SERVICE,PROVIDED
2603230027,03/23/2026,06:00,1900,BLK LOUISIANA ST INTEGRATED HEALTH AND RESPONSE TEAM 5,DUPLICATE,CALL
2603230028,03/23/2026,06:00,1900,BLK LOUISIANA ST INTEGRATED HEALTH AND RESPONSE TEAM 5 UNABLE,TO,LOCATE
2603230029,03/23/2026,06:05,1200,BLK TENNESSEE ST SUSP CIRCUMSTANCES,5,REPORT
2603230031,03/23/2026,07:00,300,BLK PARKVIEW TER INTEGRATED HEALTH AND RESPONSE TEAM 7 MH TEAM,-IHART,PRIMARY
2603230032,03/23/2026,07:00,200,BLK COVENTRY WY 911 HANGUP 2 CANCELLED BY,REPORTING,PARTY
2603230033,03/23/2026,07:05,1800,BLK SPRINGS RD AUDIBLE ALARM,2,UNFOUNDED
2603230034,03/23/2026,07:24,1200,BLK EL DORADO ST SUSPICIOUS VEHICLE CHECK 5 UNABLE,TO,LOCATE
2603230035,03/23/2026,07:25,100,BLK JOEL CT PANIC ALARM,2,UNFOUNDED
2603230036,03/23/2026,07:35,MEADOWS,DR/ECHO SUMMIT RD TRAFFIC COLLISION WITH INJURIES,8,REPORT
2603230036,03/23/2026,07:35,MEADOWS,DR/ECHO SUMMIT RD TRAFFIC COLLISION WITH MINOR INJURIES,8,REPORT
2603230037,03/23/2026,07:35,CURTOLA,PKWY/ALAMEDA ST TRAFFIC COLLISION WITH INJURIES,4,REPORT
