Incident #,Date,Time,Location,Description,Beat,Disposition
2604010003,04/01/2026,00:19,100 BLK CORPORATE PL,AUDIBLE ALARM,4,UNFOUNDED
2604010005,04/01/2026,00:30,500 BLK VIRGINIA ST,FAMILY DISTURBANCE,5,GENERAL SERVICE PROVIDED
2604010008,04/01/2026,01:16,JACK LONDON DR/CANDY DR,DOMESTIC VIOLENCE REPORT,8,ARREST
2604010009,04/01/2026,01:18,100 BLK AMADOR ST,INFORMATIONAL REPORT,4,GENERAL SERVICE PROVIDED
2604010010,04/01/2026,02:00,500 BLK SANTA CLARA ST,AUDIBLE ALARM,6,CANCELLED BY REPORTING PARTY
2604010011,04/01/2026,02:08,100 BLK BENSON AV,TOW REQUEST,6,GENERAL SERVICE PROVIDED
2604010013,04/01/2026,02:18,TENNESSEE ST/MARIN ST,TRAFFIC STOP,6,CITATION
2604010014,04/01/2026,02:37,TENNESSEE ST/SONOMA BLVD,FIELD INTERVIEW,6,WARNING GIVEN
2604010016,04/01/2026,02:49,500 BLK TAPER AV,MISDEMEANOR HIT AND RUN REPORT,8,REPORT
2604010017,04/01/2026,02:55,100 BLK AMADOR ST,TRANSPORT ARRESTED PERSON,4,GENERAL SERVICE PROVIDED
2604010018,04/01/2026,02:59,SONOMA BL/REDWOOD ST,TRAFFIC STOP,7,CITATION
2604010019,04/01/2026,03:11,800 BLK GRANT ST,AREA CHECK,4,UNFOUNDED
2604010020,04/01/2026,03:14,300 BLK SAN MARCUS DR,INFORMATIONAL REPORT,4,GENERAL SERVICE PROVIDED
2604010021,04/01/2026,03:33,200 BLK PARKVIEW TER,SHOTS FIRED,7,REPORT
2604010022,04/01/2026,03:34,REGENTS PARK DR/COLUMBUS PKY,WELFARE CHECK,2,UNABLE TO LOCATE
2604010025,04/01/2026,03:58,500 BLK BRANCIFORTE ST,RAVEN ALERT SHOTS FIRED,6,UNABLE TO LOCATE
2604010026,04/01/2026,04:09,1700 BLK SUTTER ST,INFORMATIONAL REPORT,5,GENERAL SERVICE PROVIDED
2604010027,04/01/2026,04:09,100 BLK FRISBIE ST,RAVEN ALERT SHOTS FIRED,6,UNABLE TO LOCATE
2604010029,04/01/2026,04:24,400 BLK REDWOOD ST,INFORMATIONAL REPORT,6,GENERAL SERVICE PROVIDED
2604010030,04/01/2026,04:44,00 BLK MONTEREY ST,RAVEN ALERT SHOTS FIRED,4,UNABLE TO LOCATE
2604010031,04/01/2026,04:48,100 BLK MONTEREY ST,ASSAULT JUST OCCURRED,4,GENERAL SERVICE PROVIDED
2604010032,04/01/2026,05:01,1100 BLK CUNNINGHAM ST,INFORMATIONAL REPORT,6,GENERAL SERVICE PROVIDED
2604010033,04/01/2026,05:33,100 BLK LA BREA ST,DOMESTIC VIOLENCE REPORT,3,GENERAL SERVICE PROVIDED
2604010034,04/01/2026,05:53,100 BLK WOODSIDE RD,INFORMATIONAL REPORT,7,GENERAL SERVICE PROVIDED
2604010036,04/01/2026,06:05,2100 BLK SACRAMENTO ST,SHOTS FIRED,6,GENERAL SERVICE PROVIDED
2604010037,04/01/2026,06:06,JILL LN/TAPER AV,SUSPICIOUS VEHICLE CHECK,8,DUPLICATE CALL
2604010038,04/01/2026,06:28,5300 BLK CHENIN BLANC PL,EXTRA PATROL,1,UNABLE TO LOCATE
2604010040,04/01/2026,06:42,SONOMA BL/MINI DR,911 HANGUP,8,CANCELLED BY REPORTING PARTY
2604010041,04/01/2026,06:53,WILLOW ST/ALMOND DR,SUSPICIOUS VEHICLE CHECK,7,REPORT
2604010042,04/01/2026,06:58,2800 BLK OLIVEWOOD LN,PANIC ALARM,1,CANCELLED BY REPORTING PARTY
2604010043,04/01/2026,07:06,300 BLK PHELAN AV,VEHICLE THEFT REPORT,5,REPORT
2604010044,04/01/2026,07:16,100 BLK HAWKESBURY CT,WELFARE CHECK / 911 HANGUP,1,GENERAL SERVICE PROVIDED
2604010045,04/01/2026,07:19,1700 BLK ALABAMA ST,SUSP CIRCUMSTANCES,5,UNABLE TO LOCATE
2604010047,04/01/2026,07:25,3300 BLK HARBOR MOON CT,911 HANGUP,1,UNABLE TO LOCATE
2604010048,04/01/2026,07:31,2000 BLK SOLANO AV,ARSON,5,UNABLE TO LOCATE
2604010051,04/01/2026,07:51,200 BLK CASSADY ST,VEHICLE THEFT REPORT,5,REPORT
2604010052,04/01/2026,08:22,100 BLK GARY CIR,VEHICLE THEFT REPORT,3,REPORT
2604010053,04/01/2026,08:24,800 BLK HUMBOLDT ST,WELFARE CHECK,2,GENERAL SERVICE PROVIDED
2604010054,04/01/2026,08:28,500 BLK TREGASKIS AV,FOLLOW UP,2,MH TEAM -IHART PRIMARY
2604010056,04/01/2026,08:33,LIGHTHOUSE DR/WILSON AV,TRAFFIC COLLISION / NO INJURIES,6,GENERAL SERVICE PROVIDED
2604010057,04/01/2026,08:36,COLUMBUS PKY/GREENMONT DR,TRAFFIC COLLISION / NO DETAILS,2,REPORT
2604010058,04/01/2026,08:39,SPRINGS RD/OAKWOOD AV,STOLEN VEHICLE RECOVERY,2,ARREST
2604010059,04/01/2026,08:44,300 BLK FAIRGROUNDS DR,INFORMATIONAL REPORT,7,CANCELLED BY DISPATCH
2604010060,04/01/2026,09:03,SACRAMENTO ST/YOLO,SPECIAL ASSIGNMENT,6,GENERAL SERVICE PROVIDED
2604010061,04/01/2026,09:13,100 BLK ODDSTAD DR,WELFARE CHECK,7,UNABLE TO LOCATE
2604010062,04/01/2026,09:20,3200 BLK SONOMA BL,SUSPICIOUS PERSON,6,UNABLE TO LOCATE
2604010066,04/01/2026,09:37,300 BLK GLENN ST,INFORMATIONAL REPORT,5,GENERAL SERVICE PROVIDED
2604010068,04/01/2026,09:58,500 BLK GEORGIA ST,BURGLARY REPORT,5,REPORT
2604010071,04/01/2026,10:05,SONOMA BL/TENNESSEE ST,TRAFFIC STOP,5,WARNING GIVEN
2604010073,04/01/2026,10:23,100 BLK AMADOR ST,FOLLOW UP,4,GENERAL SERVICE PROVIDED
2604010074,04/01/2026,10:25,300 BLK FAIRGROUNDS DR,PARKING VIOLATION,7,UNABLE TO LOCATE
2604010075,04/01/2026,10:32,1500 BLK VALLE VISTA AV,VEHICLE THEFT REPORT,7,REPORT
2604010076,04/01/2026,10:32,500 BLK SONOMA BL,SECURITY CHECK,4,GENERAL SERVICE PROVIDED
2604010077,04/01/2026,10:34,MAGAZINE ST/PINE,TRAFFIC COLLISION / NO INJURIES,4,REPORT
2604010078,04/01/2026,10:34,REDWOOD ST/TUOLUMNE ST,VERBAL FIGHT,5,UNABLE TO LOCATE
2604010079,04/01/2026,10:34,400 BLK BROADWAY ST,TRESPASS,5,GENERAL SERVICE PROVIDED
2604010080,04/01/2026,10:35,500 BLK TREGASKIS AV,FOLLOW UP,2,MH TEAM -IHART PRIMARY
2604010081,04/01/2026,10:37,400 BLK WOODROW AV,VERBAL FIGHT,2,GENERAL SERVICE PROVIDED
2604010082,04/01/2026,10:45,300 BLK VIRGINIA ST,PARKING VIOLATION,6,UNABLE TO LOCATE
2604010083,04/01/2026,10:50,400 BLK STARFISH DR,AUDIBLE ALARM,3,UNFOUNDED
2604010084,04/01/2026,10:58,600 BLK RUSSELL ST,SUSPICIOUS VEHICLE CHECK,2,GENERAL SERVICE PROVIDED
