Incident #,Date,Time,Location,Description,Beat,Disposition
2603310001,03/31/2026,00:02,800 BLK ROSEWOOD AV,SUSPICIOUS PERSON,2,UNABLE TO LOCATE
2603310002,03/31/2026,00:02,1100 BLK PORTER ST,NOISE COMPLAINT,4,COPIED TO PATROL LOG
2603310003,03/31/2026,00:26,600 BLK CHERRY ST,RAVEN ALERT SHOTS FIRED,4,UNABLE TO LOCATE
2603310004,03/31/2026,00:53,1600 BLK TUOLUMNE ST,INFORMATIONAL REPORT,5,GENERAL SERVICE PROVIDED
2603310005,03/31/2026,01:11,500 BLK WALLACE AVE,INDECENT EXPOSURE REPORT,4,COPIED TO PATROL LOG
2603310006,03/31/2026,01:13,BROADWAY ST/REDWOOD ST,FOLLOW UP,5,GENERAL SERVICE PROVIDED
2603310007,03/31/2026,01:40,600 BLK NEBRASKA ST,911 HANGUP,5,UNABLE TO LOCATE
2603310008,03/31/2026,02:07,1000 BLK FAIRGROUNDS DR,TRESPASS IN PROGRESS,7,GENERAL SERVICE PROVIDED
2603310009,03/31/2026,02:11,LOUISIANA ST/SUTTER ST,TRAFFIC STOP,5,WARNING GIVEN
2603310010,03/31/2026,02:18,300 BLK TENNESSEE ST,EXTRA PATROL,6,GENERAL SERVICE PROVIDED
2603310011,03/31/2026,02:41,CHRISTOPHER WY/LILLEAN WY,AREA CHECK,8,GENERAL SERVICE PROVIDED
2603310012,03/31/2026,02:43,REDWOOD ST/BROADWAY ST,TRAFFIC STOP,5,WARNING GIVEN
2603310013,03/31/2026,02:55,SONOMA BL/CAPITOL ST,TRAFFIC STOP,5,WARNING GIVEN
2603310014,03/31/2026,02:59,200 BLK DEL MAR AV,911 HANGUP,7,UNABLE TO LOCATE
2603310015,03/31/2026,03:09,200 BLK WOODROW AV,911 HANGUP,2,UNABLE TO LOCATE
2603310016,03/31/2026,03:40,1900 BLK BROADWAY ST,ACCIDENTAL OVERDOSE,7,REFERRED TO ANOTHER AGENCY
2603310019,03/31/2026,04:05,800 BLK ADMIRAL CALLAGHAN LN,GRAND THEFT JUST OCCURRED,1,CANCELLED BY REPORTING PARTY
2603310020,03/31/2026,04:21,100 BLK KATHY ELLEN DR,INFORMATIONAL REPORT,1,GENERAL SERVICE PROVIDED
2603310021,03/31/2026,04:22,2200 BLK TUOLUMNE ST,INFORMATIONAL REPORT,7,GENERAL SERVICE PROVIDED
2603310022,03/31/2026,04:56,1300 BLK VIRGINIA ST,911 HANGUP,5,UNABLE TO LOCATE
2603310023,03/31/2026,05:07,1800 BLK ASCOT PKY,AUDIBLE ALARM,1,UNFOUNDED
2603310024,03/31/2026,05:25,1100 BLK ADMIRAL CALLAGHAN LN,TRESPASS IN PROGRESS,1,CANCELLED BY REPORTING PARTY
2603310025,03/31/2026,05:26,00 BLK LEMON ST,RAVEN ALERT SHOTS FIRED,4,UNABLE TO LOCATE
2603310027,03/31/2026,05:57,00 BLK FRISBIE ST,SEARCH,6,GENERAL SERVICE PROVIDED
2603310028,03/31/2026,06:06,100 BLK BENICIA RD,AUDIBLE ALARM,4,UNFOUNDED
2603310030,03/31/2026,06:34,200 BLK MAINE ST,911 HANGUP,6,CANCELLED BY DISPATCH
2603310031,03/31/2026,06:48,200 BLK COVENTRY WY,911 HANGUP,2,CANCELLED BY REPORTING PARTY
2603310034,03/31/2026,07:01,1300 BLK GEORGIA ST,CUSTOMER DISTURBANCE,4,GENERAL SERVICE PROVIDED
2603310035,03/31/2026,07:20,200 BLK 5TH ST,INFORMATIONAL REPORT,4,REFERRED TO ANOTHER AGENCY
2603310036,03/31/2026,07:51,200 BLK 5TH ST,EXTRA PATROL,4,COPIED TO PATROL LOG
2603310037,03/31/2026,08:03,BROADWAY ST/VALLE VISTA AV,INJURY COLLISION,5,GENERAL SERVICE PROVIDED
2603310040,03/31/2026,08:20,300 BLK CURTOLA PKWY,PETTY THEFT JUST OCCURRED,4,GENERAL SERVICE PROVIDED
2603310041,03/31/2026,08:23,700 BLK LINCOLN RD W,TRESPASS IN PROGRESS,4,GENERAL SERVICE PROVIDED
2603310042,03/31/2026,08:26,1800 BLK CAPITOL ST,AUDIBLE ALARM,5,UNFOUNDED
2603310045,03/31/2026,08:47,00 BLK RICHARDSON DR,WELFARE CHECK,7,MH TEAM -IHART PRIMARY
2603310048,03/31/2026,08:54,300 BLK SAN MARINO AV,FOLLOW UP,7,MH TEAM -IHART PRIMARY
2603310049,03/31/2026,08:54,100 BLK WOODRIDGE DR,ABANDONED VEHICLE,1,GENERAL SERVICE PROVIDED
2603310050,03/31/2026,08:59,200 BLK NICOLE WY,ASSUALT IN PROGRESS,8,GENERAL SERVICE PROVIDED
2603310051,03/31/2026,08:59,300 BLK VIRGINIA ST,SUSPICIOUS PERSON,6,GENERAL SERVICE PROVIDED
2603310052,03/31/2026,09:08,400 BLK BRITANNIA DR,ABANDONED VEHICLE,2,REPORT
2603310053,03/31/2026,09:12,300 BLK NEVADA ST,ABANDONED VEHICLE,5,CITATION
2603310054,03/31/2026,09:16,ASCOT PKY/COLUMBUS PKY,SPECIAL ASSIGNMENT,1,GENERAL SERVICE PROVIDED
2603310055,03/31/2026,09:16,700 BLK POPE DR,SUICIDE ATTEMPT,2,GENERAL SERVICE PROVIDED
2603310057,03/31/2026,09:18,SACRAMENTO ST/CAPITOL ST,TRAFFIC STOP,6,WARNING GIVEN
2603310058,03/31/2026,09:20,200 BLK MAINE ST,WELFARE CHECK,6,MH TEAM -IHART PRIMARY
2603310059,03/31/2026,09:20,BROADWAY ST/TUOLUMNE ST,RECKLESS DRIVER,7,UNABLE TO LOCATE
2603310060,03/31/2026,09:25,300 BLK VIRGINIA ST,PARKING VIOLATION,6,CITATION
2603310061,03/31/2026,09:34,700 BLK POPE DR,INTEGRATED HEALTH AND RESPONSE TEAM,2,MH TEAM -IHART PRIMARY
2603310062,03/31/2026,09:34,1900 BLK ASCOT PKY,VEHICLE THEFT REPORT,2,CANCELLED BY DISPATCH
2603310063,03/31/2026,09:36,400 BLK GEORGIA ST,MENTAL DISTURBED SUBJECT,6,GENERAL SERVICE PROVIDED
2603310064,03/31/2026,09:53,300 BLK CURTOLA PKWY,TRESPASS IN PROGRESS,4,GENERAL SERVICE PROVIDED
2603310065,03/31/2026,09:54,MORNINGSIDE AV/AMADOR ST,TRAFFIC STOP,5,WARNING GIVEN
2603310066,03/31/2026,09:55,4300 BLK SONOMA BL,MENTAL DISTURBED SUBJECT,7,CANCELLED BY REPORTING PARTY
2603310068,03/31/2026,10:02,200 BLK MAINE ST,STOLEN VEHICLE RECOVERY,6,REPORT
2603310069,03/31/2026,10:13,200 BLK INVERNESS DR,ABANDONED VEHICLE,7,REPORT
2603310070,03/31/2026,10:14,1200 BLK MAPLE AV,ABANDONED VEHICLE,1,REPORT
2603310072,03/31/2026,10:19,SONOMA BL/ALABAMA ST,TRAFFIC STOP,5,CITATION
2603310073,03/31/2026,10:25,100 BLK SETTERQUIST DR,FOLLOW UP,7,GENERAL SERVICE PROVIDED
2603310074,03/31/2026,10:30,REDWOOD ST/ADMIRAL CALLAGHAN LN,SPEEDING ALERT,1,ALERT BROADCAST
2603310075,03/31/2026,10:32,TUOLUMNE ST/BROADWAY ST,TRAFFIC STOP,7,CITATION
2603310076,03/31/2026,10:37,100 BLK LARISSA LN,PETTY THEFT,4,REPORT
2603310077,03/31/2026,10:47,MINI DR/FALCON DR,TRAFFIC STOP,8,REPORT
2603310081,03/31/2026,11:04,1200 BLK N CAMINO ALTO,ABANDONED VEHICLE,7,REPORT
2603310082,03/31/2026,11:08,100 BLK ADMIRAL CALLAGHAN LN,SUSPICIOUS PERSON,1,GENERAL SERVICE PROVIDED
2603310083,03/31/2026,11:09,2300 BLK NAPA ST,911 HANGUP,5,UNABLE TO LOCATE
2603310084,03/31/2026,11:09,100 BLK CRAVEN ST,VIOLATION OF COURT ORDER,6,CANCELLED BY REPORTING PARTY
2603310085,03/31/2026,11:10,GARIBALDI DR/BROADWAY ST,RECKLESS DRIVER,7,ALERT BROADCAST
2603310088,03/31/2026,11:13,6600 BLK SAWGRASS LN,AUDIBLE ALARM,1,UNFOUNDED
2603310089,03/31/2026,11:14,100 BLK AMADOR ST,FOLLOW UP,4,GENERAL SERVICE PROVIDED
2603310090,03/31/2026,11:16,SONOMA BL/TENNESSEE ST,TRAFFIC STOP,5,WARNING GIVEN
2603310091,03/31/2026,11:16,1400 BLK ENTERPRISE ST,CUSTOMER DISTURBANCE,7,GENERAL SERVICE PROVIDED
2603310092,03/31/2026,11:20,1800 BLK SONOMA BL,FORGERY,5,GENERAL SERVICE PROVIDED
2603310093,03/31/2026,11:21,100 BLK POWER DR,NEIGHBORHOOD DISPUTE,7,UNABLE TO LOCATE
2603310095,03/31/2026,11:25,100 BLK JACKSON WY,FOLLOW UP,2,GENERAL SERVICE PROVIDED
2603310096,03/31/2026,11:29,HARVARD AV/STANFORD DR,ABANDONED VEHICLE,8,WARNING GIVEN
2603310097,03/31/2026,11:39,1700 BLK BROADWAY ST,TRESPASS IN PROGRESS,7,GENERAL SERVICE PROVIDED
2603310099,03/31/2026,11:45,CURTOLA PKWY/SONOMA BL,AREA CHECK,4,GENERAL SERVICE PROVIDED
2603310100,03/31/2026,11:46,400 BLK OLYMPIC ST,ABANDONED VEHICLE,7,REPORT
2603310101,03/31/2026,11:48,MARIN ST/CAROLINA ST,BRANDISHING A WEAPON,6,GENERAL SERVICE PROVIDED
2603310102,03/31/2026,11:50,100 BLK CALHOUN ST,ABANDONED VEHICLE,6,GENERAL SERVICE PROVIDED
2603310104,03/31/2026,11:57,100 BLK NALISTY DR,ABANDONED VEHICLE,6,GENERAL SERVICE PROVIDED
2603310105,03/31/2026,12:10,700 BLK LINCOLN RD E,ABANDONED VEHICLE,2,GENERAL SERVICE PROVIDED
2603310106,03/31/2026,12:12,00 BLK PARROTT ST,ABANDONED VEHICLE,6,GENERAL SERVICE PROVIDED
2603310107,03/31/2026,12:12,2300 BLK NAPA ST,VERBAL FIGHT,5,GENERAL SERVICE PROVIDED
2603310108,03/31/2026,12:15,100 BLK FLORENCE CT,VEHICLE THEFT REPORT,7,CANCELLED BY REPORTING PARTY
2603310109,03/31/2026,12:16,AMADOR ST/GEORGIA ST,TRAFFIC STOP,4,WARNING GIVEN
2603310110,03/31/2026,12:23,1800 BLK NAPA ST,ABANDONED VEHICLE,5,GENERAL SERVICE PROVIDED
2603310111,03/31/2026,12:25,GEORGIA ST/HAZELWOOD ST,TRAFFIC STOP,2,WARNING GIVEN
2603310112,03/31/2026,12:28,BROADWAY ST/ILLINOIS ST,TRAFFIC STOP,5,ARREST
2603310113,03/31/2026,12:33,00 BLK VALLE VISTA AV,VEHICLE THEFT REPORT,6,REPORT
2603310115,03/31/2026,12:44,100 BLK AMADOR ST,MENTAL DISTURBED SUBJECT,4,UNABLE TO LOCATE
2603310117,03/31/2026,12:53,3400 BLK SONOMA BL,TRESPASS IN PROGRESS,6,GENERAL SERVICE PROVIDED
2603310118,03/31/2026,12:56,100 BLK IFLAND WY,ANIMAL COMPLAINT,7,CANCELLED BY REPORTING PARTY
2603310119,03/31/2026,13:04,1000 BLK ADMIRAL CALLAGHAN LN,CUSTOMER DISTURBANCE,1,GENERAL SERVICE PROVIDED
2603310121,03/31/2026,13:07,600 BLK SPRINGS RD,VERBAL FIGHT,5,GENERAL SERVICE PROVIDED
2603310124,03/31/2026,13:22,100 BLK YORKSHIRE CT,THREATS,2,UNABLE TO LOCATE
2603310125,03/31/2026,13:26,300 BLK HOSPITAL DR,INTEGRATED HEALTH AND RESPONSE TEAM,7,MH TEAM -IHART PRIMARY
2603310126,03/31/2026,13:46,100 BLK PERKINS AV,AUDIBLE ALARM,4,UNFOUNDED
2603310127,03/31/2026,13:56,1200 BLK DONNER PASS RD,ABANDONED VEHICLE,8,GENERAL SERVICE PROVIDED
2603310128,03/31/2026,14:00,100 BLK NAVONE ST,ASSAULT REPORT,3,PENDING
2603310129,03/31/2026,14:01,700 BLK LINCOLN RD E,ABANDONED VEHICLE,2,UNABLE TO LOCATE
2603310131,03/31/2026,14:14,REDWOOD ST/BROADWAY ST,TRAFFIC STOP,5,WARNING GIVEN
2603310132,03/31/2026,14:15,100 BLK AMHERST AV,ABANDONED VEHICLE,8,REPORT
2603310133,03/31/2026,14:21,2000 BLK FLORIDA ST,VERBAL FIGHT,5,CANCELLED BY REPORTING PARTY
2603310134,03/31/2026,14:30,2200 BLK TUOLUMNE ST,VERBAL FIGHT,7,GENERAL SERVICE PROVIDED
2603310135,03/31/2026,14:54,500 BLK MILLER AV,SUSPICIOUS PERSON,2,UNABLE TO LOCATE
2603310136,03/31/2026,14:59,100 BLK ADELE DR,MENTAL DISTURBED SUBJECT,8,MH TEAM -IHART PRIMARY
2603310138,03/31/2026,15:01,200 BLK WALLACE AVE,FAMILY DISTURBANCE,4,GENERAL SERVICE PROVIDED
2603310139,03/31/2026,15:08,1000 BLK ADMIRAL CALLAGHAN LN,FOLLOW UP,1,GENERAL SERVICE PROVIDED
2603310141,03/31/2026,15:16,1700 BLK TENNESSEE ST,SILENT ROBBERY ALARM,5,GENERAL SERVICE PROVIDED
2603310142,03/31/2026,15:16,100 BLK ALLISON CT,ABANDONED VEHICLE,8,REPORT
2603310143,03/31/2026,15:22,COUCH ST/MICHIGAN ST,WELFARE CHECK,5,MH TEAM -IHART PRIMARY
2603310144,03/31/2026,15:23,BROADWAY ST/REDWOOD ST,TRAFFIC STOP,5,WARNING GIVEN
2603310146,03/31/2026,15:37,100 BLK KATHY ELLEN DR,911 HANGUP,1,UNABLE TO LOCATE
2603310147,03/31/2026,15:39,400 BLK YUBA ST,911 HANGUP,5,UNABLE TO LOCATE
2603310148,03/31/2026,15:39,100 BLK FOSTER ST,911 HANGUP,2,UNABLE TO LOCATE
2603310149,03/31/2026,15:51,100 BLK VALLE VISTA AV,AUDIBLE ALARM,5,CANCELLED BY REPORTING PARTY
2603310150,03/31/2026,16:00,100 BLK PLAZA DR,SUSPICIOUS PERSON,1,GENERAL SERVICE PROVIDED
2603310151,03/31/2026,16:13,100 BLK CAROLINA ST,911 HANGUP,6,UNABLE TO LOCATE
